id,source,url,title_raw,title_norm,org_name,location,description_clean,processed_at
11,sqlite_baseline,https://www.brightermonday.co.ke/listings/risk-officer-vwqgng,Risk Officer,risk officer,Unknown,Nairobi,"Skills Assessment
                            















Risk Officer


                            NSI Technology Limited
                        



                            Quality Control & Assurance
                        



                            Nairobi
                        

                            Full Time
                        



                            IT & Telecoms
                        

                                                            KSh
                                                        
                                45,000 - 60,000
                            






 

                            Easy Apply
                        






                        New
                        





                Today
            










25 - 45min skills assessment  -  Learn More
                



                        Job Summary
                    

                        We are seeking a Risk Officer to provi",2026-01-25T17:08:34.279717
12,sqlite_baseline,https://www.brightermonday.co.ke/listings/logistics-shipping-coordinator-9jd5pn,Logistics & Shipping Coordinator,logistics & shipping coordinator,Unknown,Nairobi,"Logistics & Shipping Coordinator


                            DECORATIVE WALL CLOCKS KENYA LIMITED
                        



                            Supply Chain & Procurement
                        



                            Nairobi
                        

                            Full Time
                        



                            Retail, Fashion & FMCG
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Yesterday
            



                        Job Summary
                    

                        We are seeking an organized and detail-oriented Logistics & Shipping Coordinator to join our dynamic team. In this role, you will manage and oversee the entire shipping process, from packaging",2026-01-25T17:08:34.310491
13,sqlite_baseline,https://www.brightermonday.co.ke/listings/l-editorvideographe-d760v4,l Editor/Videographe,l editor/videographe,Unknown,Nairobi,"l Editor/Videographe


                            Firebrand Nation
                        



                            Creative & Design
                        



                            Nairobi
                        

                            Full Time
                        



                            NGO, NPO & Charity
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Yesterday
            



                        Job Summary
                    

                        Are you passionate about media, creativity, and using your talents for the Kingdom of God? Firebrand Nation is looking for a talented Editor/Videographer to join our dynamic team. If you are a born-again Christian, have a heart for minis",2026-01-25T17:08:34.340904
14,sqlite_baseline,https://www.brightermonday.co.ke/listings/senior-back-end-developer-gw0pnm,Senior Back-End Developer,senior back-end developer,Unknown,Nairobi,"Senior Back-End Developer


                            University of Nicosia
                        



                            Software & Data
                        



                            Remote (Work From Home)
                        

                            Full Time
                        



                            Education
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Yesterday
            



                        Job Summary
                    

                        The University of Nicosia, the largest English-language independent university in the European Union, is seeking talented, ambitious, and results-oriented individuals for the position of a Senior Back-End Developer.
      ",2026-01-25T17:08:34.368358
15,sqlite_baseline,https://www.brightermonday.co.ke/listings/senior-front-end-web-developer-nextjs-remote-xpzg02,Senior Front-End Web Developer (NextJS) (Remote),software developer,Unknown,Nairobi,"Senior Front-End Web Developer (NextJS) (Remote)


                            University of Nicosia
                        



                            Software & Data
                        



                            Remote (Work From Home)
                        

                            Full Time
                        



                            Education
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Yesterday
            



                        Job Summary
                    

                        The University of Nicosia, the largest English-language independent university in the European Union, is seeking talented, ambitious, and results-oriented individuals for the position of a Senior Fro",2026-01-25T17:08:34.401785
16,sqlite_baseline,https://www.brightermonday.co.ke/listings/junior-accountant-07znrj,Junior Accountant,accountant,Unknown,Nairobi,"Junior Accountant


                            Fivestar
                        



                            Accounting, Auditing & Finance
                        



                            Nairobi
                        

                            Full Time
                        



                            Retail, Fashion & FMCG
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Yesterday
            



                        Job Summary
                    

                        We are seeking a detail-oriented and highly organized Accountant with proficiency in QuickBooks Online to join our finance team. The ideal candidate will be responsible for managing financial records, preparing financial statements",2026-01-25T17:08:34.449713
33,sqlite_baseline,https://www.brightermonday.co.ke/listings/development-manager-retail-environment-ev794j,Development Manager - Retail Design & Architecture,development manager - retail design & architecture,Unknown,Nairobi,"Development Manager - Retail Design & Architecture


                            BrighterMonday Consulting
                        



                            Management & Business Development
                        



                            Nairobi
                        

                            Full Time
                        



                            Construction
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Yesterday
            



                        Job Summary
                    

                        We are seeking an experienced Development Manager with expertise in architecture, construction, project management, Quantity Surveying and procurement to oversee and coordinate the develop",2026-01-25T17:08:34.484411
34,sqlite_baseline,https://www.brightermonday.co.ke/listings/senior-software-engineer-gw0wn4,Senior Software Engineer -Java & SpringBoot,software developer,Unknown,Nairobi,"Additional Questions
                            













Senior Software Engineer -Java & SpringBoot


                            FASTHUB SOLUTIONS LIMITED
                        



                            Software & Data
                        



                            Outside Kenya
                        

                            Full Time
                        



                            IT & Telecoms
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                Yesterday
            



                        Job Summary
                    

                        We are seeking a highly skilled and experienced Java Developer to join our dynamic team. The ideal candidate will have a minimum of 3 years of ",2026-01-25T17:08:34.511816
35,sqlite_baseline,https://www.brightermonday.co.ke/listings/sales-personnel-r808em,Sales personnel,sales personnel,Unknown,Nairobi,"Sales personnel


                            Mom Easy Company Limited
                        



                            Sales
                        



                            Nairobi
                        

                            Full Time
                        



                            Manufacturing & Warehousing
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                2 days ago
            



                        Job Summary
                    

                        As a Sales personnel it is the duty of the Employee to perform all essential job functions and duties. From time to time, the Employer may also add other duties within the reasonable scope of the Employee’s work. The job description of ",2026-01-25T17:08:34.547647
36,sqlite_baseline,https://www.brightermonday.co.ke/listings/female-shop-attendant-ev7ve5,Female Shop Attendant,female shop attendant,Unknown,Nairobi,"Female Shop Attendant


                            NOTEBOOKS AND PLANNERS KENYA
                        



                            Trades & Services
                        



                            Nairobi
                        

                            Full Time
                        



                            Retail, Fashion & FMCG
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                2 days ago
            



                        Job Summary
                    

                        We are looking for a dedicated and customer-oriented individual to join our team as a Stationery Shop Attendant. In this role, you will be instrumental in creating a positive and memorable shopping experience for our cu",2026-01-25T17:08:34.577514
